Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Négocier son salaire en tant que femme ,"De nombreuses études relèvent le fait que les femmes sont souvent moins bien payées que les hommes. Il s'agit d'un sujet auquel nous sommes collectivement attentifs depuis plusieurs années. Dans cette formation audio de Sandrine Dorbes, vous découvrirez des conseils pour savoir négocier votre salaire en tant que femme. Vous verrez comment préparer votre entretien et comment identifier les freins que vous vous imposez parfois. Puis, vous aborderez la question de l'attitude à adopter lors de l'entretien et, bien entendu, comment poursuivre vos négociations une fois terminé.",Course,2024-05-17 00:19 UTC,N/A,false,N/A,
Getting Your First Job as a Web Developer,"A career in web development lets you work from home in a field that's challenging, productive, and often lucrative. Instructor Christina Truong provides the foundational knowledge you need to get started in the field and find your way to a new career as an in-house or freelance web developer. First, Christina explains different types of web developer jobs and the skills associated with each role. She then shows you how to craft a personal profile online, maximize your job search, and write a resume that highlights the skills you’ve accumulated so far. Christina steps through the process of creating customized cover letters, preparing for interviews, and negotiating job offers. Christina also shows freelancers how to choose a business structure, maximize the search for clients and projects, and calculate rates for projects. Christina concludes by highlighting several things to consider when creating a contract.",Course,N/A,N/A,true,N/A,
C# Practice: Interfaces and Abstract Classes,"<p>Test your object-oriented knowledge of C# in this edition of <i>Code Challenges</i>. Instructor and .NET developer Walt Ritscher presents five hands-on, intro-level challenges focused on abstract classes and interface implementation. Each challenge examines one aspect of these topics, and after you write the code to solve the challenge, check your work against Walt’s solution.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-02-28 13:48 UTC,N/A,false,N/A,
WordPress: Introduction to Custom Block Building,"WordPress is a powerful tool for getting your content online, and its custom blocks can save you a lot of time. In this course, full stack engineer and WordPress expert Nyasha Green presents an introduction to custom block building in WordPress. Find out what a block is and how to customize it to make your WordPress projects easier and faster. Explore how to create your own custom blocks that you can use to show information more clearly on your sites, as well as how you can reuse custom blocks once they are created. This course equips you with the necessary skills to create, customize, and manage WordPress blocks, enhancing your ability to build dynamic, user-friendly websites and opening up new possibilities for content creation and presentation on the WordPress platform.",Course,2025-06-15 16:40 UTC,N/A,false,N/A,
Python: Design Patterns,"<p>Explore the world of Python design patterns and learn how to implement them to save time. Instructor Jungwoo Ryoo introduces 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct. Learn how to use these patterns to structure your code more efficiently and effectively. Discover the power of reusable solutions shared by the programming community and enhance your Python coding skills. Learn through practical examples and challenge yourself with code challenges. By the end of this course, you'll be able to leverage design patterns to streamline your projects and solve common programming problems with ease. Whether you are a professional developer, a computer science student, or a coding enthusiast, mastering these patterns will significantly benefit your programming and problem-solving abilities. </p>

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-03-12 16:49 UTC,N/A,false,N/A,
CompTIA Security+ (SY0-701) Cert Prep (2024),"CompTIA Security+ is an entry-level certification that requires a thorough understanding of network and device security, risk mitigation strategies, compliance, and more. This course provides CompTIA Security+ candidates with essential information they need to prepare for the qualifying exam. Cybersecurity expert Mike Chapple first goes over some of the basics of the exam, then covers the six domains for the latest version of the exam, SY0-701. He shares study tips that can help you feel prepared to take and pass the test on your first try. Plus, learn where to find practice tests to get hands-on experience and how to keep your certification current by continuing your studies.",Course,N/A,N/A,true,N/A,
Garder son calme face à l'agressivité,"Comment garder son calme face à l'agressivité et parvenir à gérer les conflits ? Dans ce cours, Yann Piette vous présentera 9 conseils pour éviter que les conflits ne s'enveniment mais aussi pour ménager les émotions de vos interlocuteurs ou interlocutrices. Vous verrez que de simples techniques, qui peuvent de prime abord nous paraître contre-intuitives, permettent bien souvent de court-circuiter l'énervement. Contrôler ses émotions est impossible, cependant agir sur ses réactions est la clé du succès. </br></br> Cette formation a été créée par Yann Piette. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2024-04-11 02:32 UTC,N/A,false,N/A,
Algorithmic Trading and Stocks Essential Training (2018),"Many stock market trades are now conducted with algorithms: computer programs that buy or sell stocks according to mathematical formulas. These trades are conducted at a speed and frequency that is hard for humans to replicate. Therefore, it's important for finance professionals, and indeed everyone who invests in the stock market, to know how these algorithms work. This course shows how to develop a back-tested, rules-based trading strategy and program a simple trading algorithm of your own.<br><br>

Professor Michael McDonald provides a brief primer on securities markets. He explains how data helps investors forecast performance and automate trading. Then he moves into the practical steps: coming up with algorithmic trading rules and developing and testing an algorithm. Finally, he shows how the algorithm can be applied and eventually expanded to other securities. Anyone working in financial services, or interested in investing in the stock market, will be able to use these tutorials to understand and develop simple trading algorithms of their own.",Course,2019-12-22 08:44 UTC,N/A,false,N/A,
Learning LinkedIn (2021),"By harnessing the power of the LinkedIn platform, you can tap into an expansive network of professionals, companies, and groups in your industry and beyond. In this course, discover how to make the most of your LinkedIn account. Follow Oliver Schinkten as he explains how to build a stellar LinkedIn profile, and shares how to expand your network, look for new career opportunities, join groups, share updates, and contribute your own thought leadership. He goes over how to use Creator Mode and Cover Story, as well as how to add your preferred pronouns to your LinkedIn profile. Plus, Oliver explores privacy settings and account types. Upon wrapping up this course, you'll have the tools you need to grow your career by leveraging LinkedIn.",Course,2022-07-23 01:55 UTC,N/A,false,N/A,
Python : L'analyse de données,"De nos jours, l'explosion du volume et de la variété des données ne laisse plus planer de doute : le rôle du data scientist sera central dans les années à venir. Si vous êtes data scientist ou que vous souhaitez travailler avec Python, ce cours est pour vous. Omar Souissi, professeur associé en technologie de l'information et techniques d'optimisation, vous aide à acquérir les bases indispensables pour faire de la data science avec Python. Vous découvrirez comment utiliser deux bibliothèques indispensables, à savoir NumPy et Pandas. Vous verrez également quelques études de cas qui vous permettront d'assimiler facilement les différentes notions de Python pour l'analyse de données.",Course,2024-07-28 19:16 UTC,N/A,false,N/A,
