ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=data specialist, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101728226, radiusInKms=40.2335}]}}, facets={}}",8443075186
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=collections specialist, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101728226, radiusInKms=40.2335}]}}, facets={}}",8437782266
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=internship summer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90009540}]}}, facets={}}",8150397610
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Internal Audit Intern, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:113050594}]}}, facets={segmentAttributes=[]}}",8144488170
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Data Specialist, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101728226}]}}, facets={segmentAttributes=[]}}",8144488130
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=entry level cybersecurity, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90009540}]}}, facets={}}",8144488106
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Security Analyst, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103882140}]}}, facets={segmentAttributes=[]}}",8144488098
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Cyber Security Analyst, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101330853}]}}, facets={segmentAttributes=[]}}",8144488090
"{channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=Collections Specialist, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101728226}]}}, facets={segmentAttributes=[]}}",8144488066
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=stage, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101728226, radiusInKms=40.2335}]}}, facets={}}",7355628258
